city,area,num,owner,provice,post,type
林芝,0894,1362894,中国移动,西藏,860000,"GSM
"
昌都,0895,1362895,中国移动,西藏,854000,"GSM
"
那曲,0896,1362896,中国移动,西藏,852000,"GSM
"
阿里,0897,1362897,中国移动,西藏,859000,"GSM
"
,,,,,,
哈尔滨,0451,1362450,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1362451,中国移动,黑龙江,150000,"GSM
"
齐齐哈尔,0452,1362452,中国移动,黑龙江,161000,"GSM
"
牡丹江,0453,1362453,中国移动,黑龙江,157000,"GSM
"
佳木斯,0454,1362454,中国移动,黑龙江,154000,"GSM
"
绥化,0455,1362455,中国移动,黑龙江,152000,"GSM
"
黑河,0456,1362456,中国移动,黑龙江,164300,"GSM
"
大兴安岭,0457,1362457,中国移动,黑龙江,165000,"GSM
"
,,,,,,
沈阳,024,1362406,中国移动,辽宁,110000,"GSM
"
沈阳,024,1362407,中国移动,辽宁,110000,"GSM
"
大连,0411,1362408,中国移动,辽宁,116000,"GSM
"
大连,0411,1362409,中国移动,辽宁,116000,"GSM
"
铁岭,0410,1362410,中国移动,辽宁,112000,"GSM
"
大连,0411,1362411,中国移动,辽宁,116000,"GSM
"
鞍山,0412,1362412,中国移动,辽宁,114000,"GSM
"
抚顺,0413,1362413,中国移动,辽宁,113000,"GSM
"
本溪,0414,1362414,中国移动,辽宁,117000,"GSM
"
丹东,0415,1362415,中国移动,辽宁,118000,"GSM
"
锦州,0416,1362416,中国移动,辽宁,121000,"GSM
"
拉萨,0891,1362898,中国移动,西藏,850000,"GSM
"
拉萨,0891,1362899,中国移动,西藏,850000,"GSM
"
伊春,0458,1362458,中国移动,黑龙江,153000,"GSM
"
大庆,0459,1362459,中国移动,黑龙江,163000,"GSM
"
哈尔滨,0451,1362460,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1362461,中国移动,黑龙江,150000,"GSM
"
齐齐哈尔,0452,1362462,中国移动,黑龙江,161000,"GSM
"
牡丹江,0453,1362463,中国移动,黑龙江,157000,"GSM
"
七台河,0453,1362464,中国移动,黑龙江,154600,"GSM
"
佳木斯,0454,1362465,中国移动,黑龙江,154000,"GSM
"
大庆,0459,1362466,中国移动,黑龙江,163000,"GSM
"
鸡西,0453,1362467,中国移动,黑龙江,158100,"GSM
"
鹤岗,0454,1362468,中国移动,黑龙江,154100,"GSM
"
营口,0417,1362417,中国移动,辽宁,115000,"GSM
"
阜新,0418,1362418,中国移动,辽宁,123000,"GSM
"
辽阳,0419,1362419,中国移动,辽宁,111000,"GSM
"
鞍山,0412,1362420,中国移动,辽宁,114000,"GSM
"
沈阳,024,1362421,中国移动,辽宁,110000,"GSM
"
鞍山,0412,1362422,中国移动,辽宁,114000,"GSM
"
抚顺,0413,1362423,中国移动,辽宁,113000,"GSM
"
大连,0411,1362424,中国移动,辽宁,116000,"GSM
"
大连,0411,1362425,中国移动,辽宁,116000,"GSM
"
大连,0411,1362426,中国移动,辽宁,116000,"GSM
"
盘锦,0427,1362427,中国移动,辽宁,124000,"GSM
"
,,,,,,
厦门,0592,1362500,中国移动,福建,361000,"GSM
"
厦门,0592,1362501,中国移动,福建,361000,"GSM
"
福州,0591,1362502,中国移动,福建,350000,"GSM
"
福州,0591,1362503,中国移动,福建,350000,"GSM
"
福州,0591,1362504,中国移动,福建,350000,"GSM
"
福州,0591,1362505,中国移动,福建,350000,"GSM
"
福州,0591,1362506,中国移动,福建,350000,"GSM
"
双鸭山,0454,1362469,中国移动,黑龙江,155100,"GSM
"
大连,0411,1362428,中国移动,辽宁,116000,"GSM
"
葫芦岛,0429,1362429,中国移动,辽宁,125000,"GSM
"
铁岭,0410,1362490,中国移动,辽宁,112000,"GSM
"
大连,0411,1362491,中国移动,辽宁,116000,"GSM
"
鞍山,0412,1362492,中国移动,辽宁,114000,"GSM
"
沈阳,024,1362493,中国移动,辽宁,110000,"GSM
"
大连,0411,1362494,中国移动,辽宁,116000,"GSM
"
丹东,0415,1362495,中国移动,辽宁,118000,"GSM
"
盘锦,0427,1362496,中国移动,辽宁,124000,"GSM
"
辽阳,0419,1362497,中国移动,辽宁,111000,"GSM
"
福州,0591,1362507,中国移动,福建,350000,"GSM
"
福州,0591,1362508,中国移动,福建,350000,"GSM
"
福州,0591,1362509,中国移动,福建,350000,"GSM
"
漳州,0596,1362590,中国移动,福建,363000,"GSM
"
漳州,0596,1362591,中国移动,福建,363000,"GSM
"
漳州,0596,1362592,中国移动,福建,363000,"GSM
"
漳州,0596,1362593,中国移动,福建,363000,"GSM
"
漳州,0596,1362594,中国移动,福建,363000,"GSM
"
大连,0411,1362498,中国移动,辽宁,116000,"GSM
"
辽阳,0419,1362499,中国移动,辽宁,111000,"GSM
"
,,,,,,
岳阳,0730,1362730,中国移动,湖南,414000,"GSM
"
长沙,0731,1362731,中国移动,湖南,410000,"GSM
"
湘潭,0732,1362732,中国移动,湖南,411100,"GSM
"
株洲,0733,1362733,中国移动,湖南,412000,"GSM
"
衡阳,0734,1362734,中国移动,湖南,421000,"GSM
"
郴州,0735,1362735,中国移动,湖南,423000,"GSM
"
常德,0736,1362736,中国移动,湖南,415000,"GSM
"
益阳,0737,1362737,中国移动,湖南,413000,"GSM
"
娄底,0738,1362738,中国移动,湖南,417000,"GSM
"
,,,,,,
临夏,0930,1362930,中国移动,甘肃,731000,"GSM
"
甘南,0941,1362931,中国移动,甘肃,747000,"GSM
"
定西,0932,1362932,中国移动,甘肃,743000,"GSM
"
平凉,0933,1362933,中国移动,甘肃,744000,"GSM
"
庆阳,0934,1362934,中国移动,甘肃,745100,"GSM
"
泉州,0595,1362595,中国移动,福建,362000,"GSM
"
泉州,0595,1362596,中国移动,福建,362000,"GSM
"
泉州,0595,1362597,中国移动,福建,362000,"GSM
"
泉州,0595,1362598,中国移动,福建,362000,"GSM
"
泉州,0595,1362599,中国移动,福建,362000,"GSM
"
三明,0598,1362600,中国移动,福建,365000,"GSM
"
三明,0598,1362601,中国移动,福建,365000,"GSM
"
龙岩,0597,1362602,中国移动,福建,364000,"GSM
"
龙岩,0597,1362603,中国移动,福建,364000,"GSM
"
龙岩,0597,1362604,中国移动,福建,364000,"GSM
"
泉州,0595,1362605,中国移动,福建,362000,"GSM
"
,,,,,,
武汉,027,1362710,中国移动,湖北,430000,"GSM
"
武汉,027,1362711,中国移动,湖北,430000,"GSM
"
武汉,027,1362712,中国移动,湖北,430000,"GSM
"
武汉,027,1362713,中国移动,湖北,430000,"GSM
"
武汉,027,1362714,中国移动,湖北,430000,"GSM
"
荆门,0724,1362715,中国移动,湖北,448000,"GSM
"
荆州,0716,1362716,中国移动,湖北,434000,"GSM
"
荆州,0716,1362717,中国移动,湖北,434000,"GSM
"
邵阳,0739,1362739,中国移动,湖南,422000,"GSM
"
岳阳,0730,1362740,中国移动,湖南,414000,"GSM
"
长沙,0731,1362741,中国移动,湖南,410000,"GSM
"
长沙,0731,1362742,中国移动,湖南,410000,"GSM
"
吉首,0743,1362743,中国移动,湖南,416000,"GSM
"
金昌／武威,0935,1362935,中国移动,甘肃,737100,"GSM
"
张掖,0936,1362936,中国移动,甘肃,734000,"GSM
"
嘉峪关,0937,1362937,中国移动,甘肃,735100,"GSM
"
天水,0938,1362938,中国移动,甘肃,741000,"GSM
"
陇南,0939,1362939,中国移动,甘肃,764000,"GSM
"
,,,,,,
衢州,0570,1362570,中国移动,浙江,324000,"GSM
"
杭州,0571,1362571,中国移动,浙江,310000,"GSM
"
湖州,0572,1362572,中国移动,浙江,313000,"GSM
"
嘉兴,0573,1362573,中国移动,浙江,314000,"GSM
"
宁波,0574,1362574,中国移动,浙江,315000,"GSM
"
绍兴,0575,1362575,中国移动,浙江,312000,"GSM
"
台州,0576,1362576,中国移动,浙江,318000,"GSM
"
,,,,,,
商丘,0370,1362370,中国移动,河南,476000,"GSM
"
郑州,0371,1362371,中国移动,河南,450000,"GSM
"
安阳,0372,1362372,中国移动,河南,455000,"GSM
"
泉州,0595,1362606,中国移动,福建,362000,"GSM
"
泉州,0595,1362607,中国移动,福建,362000,"GSM
"
泉州,0595,1362608,中国移动,福建,362000,"GSM
"
泉州,0595,1362609,中国移动,福建,362000,"GSM
"
莆田,0594,1362690,中国移动,福建,351100,"GSM
"
莆田,0594,1362691,中国移动,福建,351100,"GSM
"
莆田,0594,1362692,中国移动,福建,351100,"GSM
"
莆田,0594,1362693,中国移动,福建,351100,"GSM
"
南平,0599,1362694,中国移动,福建,353000,"GSM
"
南平,0599,1362695,中国移动,福建,353000,"GSM
"
南平,0599,1362696,中国移动,福建,353000,"GSM
"
,,,,,,
海口,0898,1362750,中国移动,海南,571000,"GSM
"
海口,0898,1362751,中国移动,海南,571000,"GSM
"
海口,0898,1362752,中国移动,海南,571000,"GSM
"
海口,0898,1362753,中国移动,海南,571000,"GSM
"
海口,0898,1362754,中国移动,海南,571000,"GSM
"
海口,0898,1362755,中国移动,海南,571000,"GSM
"
海口,0898,1362756,中国移动,海南,571000,"GSM
"
黄冈,0713,1362718,中国移动,湖北,438000,"GSM
"
襄樊,0710,1362719,中国移动,湖北,441000,"GSM
"
武汉,027,1362720,中国移动,湖北,430000,"GSM
"
武汉,027,1362721,中国移动,湖北,430000,"GSM
"
武汉,027,1362722,中国移动,湖北,430000,"GSM
"
武汉,027,1362723,中国移动,湖北,430000,"GSM
"
武汉,027,1362724,中国移动,湖北,430000,"GSM
"
武汉,027,1362725,中国移动,湖北,430000,"GSM
"
武汉,027,1362726,中国移动,湖北,430000,"GSM
"
张家界,0744,1362744,中国移动,湖南,427000,"GSM
"
怀化,0745,1362745,中国移动,湖南,418000,"GSM
"
永州,0746,1362746,中国移动,湖南,425000,"GSM
"
邵阳,0739,1362747,中国移动,湖南,422000,"GSM
"
长沙,0731,1362748,中国移动,湖南,410000,"GSM
"
长沙,0731,1362749,中国移动,湖南,410000,"GSM
"
温州,0577,1362577,中国移动,浙江,325000,"GSM
"
丽水,0578,1362578,中国移动,浙江,323000,"GSM
"
金华,0579,1362579,中国移动,浙江,321000,"GSM
"
衢州,0570,1362580,中国移动,浙江,324000,"GSM
"
杭州,0571,1362581,中国移动,浙江,310000,"GSM
"
湖州,0572,1362582,中国移动,浙江,313000,"GSM
"
嘉兴,0573,1362583,中国移动,浙江,314000,"GSM
"
宁波,0574,1362584,中国移动,浙江,315000,"GSM
"
绍兴,0575,1362585,中国移动,浙江,312000,"GSM
"
嘉兴,0573,1362586,中国移动,浙江,314000,"GSM
"
温州,0577,1362587,中国移动,浙江,325000,"GSM
"
新乡,0373,1362373,中国移动,河南,453000,"GSM
"
许昌,0374,1362374,中国移动,河南,461000,"GSM
"
平顶山,0375,1362375,中国移动,河南,467000,"GSM
"
信阳,0376,1362376,中国移动,河南,464000,"GSM
"
南阳,0377,1362377,中国移动,河南,473000,"GSM
"
开封,0378,1362378,中国移动,河南,475000,"GSM
"
洛阳,0379,1362379,中国移动,河南,471000,"GSM
"
宁德,0593,1362697,中国移动,福建,352100,"GSM
"
宁德,0593,1362698,中国移动,福建,352100,"GSM
"
宁德,0593,1362699,中国移动,福建,352100,"GSM
"
,,,,,,
南昌,0791,1362700,中国移动,江西,330000,"GSM
"
鹰潭,0701,1362701,中国移动,江西,335000,"GSM
"
九江,0792,1362702,中国移动,江西,332000,"GSM
"
上饶,0793,1362703,中国移动,江西,334000,"GSM
"
赣州,0797,1362704,中国移动,江西,341000,"GSM
"
宜春,0795,1362705,中国移动,江西,336000,"GSM
"
九江,0792,1362706,中国移动,江西,332000,"GSM
"
赣州,0797,1362707,中国移动,江西,341000,"GSM
"
南昌,0791,1362708,中国移动,江西,330000,"GSM
"
南昌,0791,1362709,中国移动,江西,330000,"GSM
"
,,,,,,
邯郸,0310,1362310,中国移动,河北,56000,"GSM
"
石家庄,0311,1362311,中国移动,河北,50000,"GSM
"
保定,0312,1362312,中国移动,河北,71000,"GSM
"
